text,sentiment
"Ga bisa bayar coyyyy ,gmn ni",Negatif
Tidak support lokasi bioskop selain daripada jakarta dan sekitarnya,Negatif
Great apps!,Positif
Gak bsa byar pke shopeepay Pas klik gk bsa redirect..gk bsa cancel pmbayaran atau ganti metode pembayaran juga klo uda nyangkut gini,Negatif
sangat membantu dan bekerja dengan baik.. kejar poin bonusnya!!!!,Positif
ok,Positif
Mantapp!,Positif
Simple and quick!,Positif
good,Positif
"Memudahkan pembelian tiket nonton, keren 👍🤝",Positif
Jangan kirim² notif ganggu woyyyy,Negatif
terlalu banyak notif rekomendasi film dalam sehari,Negatif
Good,Positif
Tikid,Positif
"TIX ID bagiku adalah definisi beli tiket nonton zaman now karena kita bisa mudahnya pilih jadwal film favorit yg akan kita tonton secara real time, hingga pilih kursi favorit. Ga perlu antri lagi di loket. Kita tinggal print tiket di mesin scan barcode. Aplikasinya user friendly banget, ada banyak promo contohnya buy 1 get 1. Saran saya agar metode pembayaran TIX ID makin banyak.",Positif
"Sangat membantu dalam pemesanan tiket. Tapi frekuensi notif appnya terlalu sering, harus matiin manual",Negatif
very good,Positif
"Biaya layanan dikali jumlah tiket, mahal jadinya. Pakai aplikasi m.tix atau cgv saja.",Negatif
The only one best,Positif
"Sorry banget, tapi kecewa. Tiket tiba2 kena refund, padahal sudah h-1 sblm film dimulai. Semoga sistemnya dibenerin lagi..",Positif
"Aplikasi ga guna. Booking tiket film, pas sampe bioskop, status booking nya canceled, payment di refund sepihak. Keterangannya ""kursi telah terbeli orang lain"". Buat apa booking klo bisa dicancel sembarangan padahal sudah bayar. Buang2 waktu orang. Moronic.",Negatif
"aplikasinya sangat membantu, the best aplikasi",Positif
"loading terus, bete jir",Negatif
"Setiap kali mau ganti password selalu tiba - tiba ke redirect ke halaman login, dan ketika mau ganti password lagi kode OTP gak bisa dikirim karena maksimal 1 kali.",Negatif
bla blu bleh,Positif
bikin password aja ribet amat,Negatif
Payment nya skrg cuma bisa e wallet banget nih? Padahal biaya layanannya naik tapi metode pembeliannya malah berkurang. Dlu bs cc dan debit skrg malah gak bisa. Tetep Sukcs,Negatif
Mamtap pkokke,Positif
"It's useless if you want to book tickets long before you want to watch the movie you want to see. The app seldom shows cinemas' and/or movies' schedules for the next 2-5 days, which makes it pointless personally for me since I'm the type of user who wants to see movies' showing times before booking them for myself and my family ahead of time. I do believe that if TIX ID is willing to show movies' schedules at least one week prior it'll be better not only for booking but also for time management.",Negatif
Nice and helpfull application,Positif
"Kenapaaa selalu ERROR....""ada kendala, cobalah beberapa saat lagi"" ....saya kurangi 1 bintang lagi.. solusi tidak berfungsi . Saya sudah update dan restart hp, tetap aja error",Negatif
easy,Positif
Awesome,Positif
senengg bangettt,Positif
naiiisuu,Positif
Keep on having trouble getting into the app. Keep on having tabs saying cannot be accessed now,Negatif
Nice,Positif
Easy to understand and use!,Positif
Helpful if in urgent,Positif
That's good and easy for order a movie ticket in Cinema's or XXI at your city.,Positif
Murahin adminnya kak😆🙏🏻,Positif
maksa banget harus update mulu. uninstall aja deh.,Negatif
Sering amat suruh ngupdate. Nyebelin,Negatif
"tolong di benerin lagi laahh, masa disuruh apdet mulu tiap minggu",Negatif
Pretty convenient,Positif
Ayam goreng😭😭😭,Positif
GOOD JOB,Positif
mantaaap,Positif
Ok banget...,Positif
Point tix id gw ilang,Negatif
So far so good,Positif
so so lah,Positif
Kode booking tidak diterima setelah dilakukan pembayaran. Customer service hanya bisa dijangkau melalui email dan instagram. Respon CS lama. Saya email dan dm instagram dari jam 12.45. Di respon oleh CS jam 13.30. Sampai film tsb mulai di 13.50 belum ada solusi dan tidak bisa refund tiket.,Negatif
Optional,Positif
its gonna make us easier,Positif
Please gives more promos/discounts. Keep up the good work,Positif
Kereng,Positif
Gak ada Dark Mode 😒,Positif
You apps payment fully bugged Qris not available Debit/credit card via DANA bugged cannot click???,Negatif
apik lah.. lumayan iso ngewangi lan gampang nggawene,Positif
"YO if you want to update, stop force updating every week that caused me annoyance and cellular data ALSO there's time when i tried to scan my ticket and i have to wait for 1-5 mins BECAUSE THE APP FORCE UPDATE ME. IT WAS FINE BEFORE. Hey dippoop maybe instead of force update, warn me beforehand that u want to update. Sugar honey ice tea app",Negatif
Good app i've ever use for booking cinema ticket,Positif
"Banyak tingkah, update mulu ngabisin kuota orang, mending uninstall aja lah capekkkk",Negatif
mudah digunakan,Positif
tolol,Negatif
"app useless karena tidak bisa beli tiket sehari sebelumnya. even sudah jam 6 pagi di hari yg sama masih tidak bisa beli tiket!! nunggu jam kerja baru aktif atau gimana sih asli deh, dr semua app cinema paling ga guna. mana setiap balik ke halaman depan muncul pop up iklan film yg sama berulang ulang.",Negatif
Nah gini metode pembayarannya banyak opsinya jgn cuman 1 doang 👍👍👍👍👍,Positif
INI APA APAAN YA ? SUDAH BERHASIL BELI SEENAKNYA DI CANCEL ALASAN TIKET SUDAH KALIAN JUAL KE ORANG LAIN ? Fix Blacklist dan Uninstall,Negatif
thank you for making this app,Positif
"keseringan update, tiap 6 bulan aja kek napa",Negatif
helpfull.,Positif
"Fitur TIX Food gak bisa pembayaran via kartu di DANA, bisanya hanya pake saldo DANA",Negatif
kerenlu anjjg,Positif
Mudah dan cepat,Positif
Great,Positif
Ok,Positif
"Sekarang udah bisa bayar lewat Gopay & ShopeePay, nggak cuma Dana. Gitu dong... 👍",Positif
Keren memudahkan beli tiket nonton Online.,Positif
Seriusan daftar akun kode OTP cuma bisa request 1 kali? Kalau ga terkirim harus nunggu besok. Langsung uninstall.,Negatif
"Bagus, tapi pembayaran hanya pakai DANA. Saya tak pakai DANA. Uninstall jadinya.",Negatif
Bagus dan memudahkan pemesanan tiket,Positif
Aplikasinya sih udah bagus ya. Sayang opsi pembayarannya cuma Dana. Bahkan pembayaran pake CC pun gak support.,Negatif
good app,Positif
Simple dan praktis,Positif
"good app, update ya sekarang bisa beli makanan dan mercendise sekalian",Positif
ribet kalau cuma bisa pakai dana.,Negatif
"Fix your calculation for transactions, imagine buying 6 ticket around 25k(become 150k) and 4k admin fee, but total become 174k. Where 20k fee is come from? Better I'm buying the ticket at cinemas",Negatif
"overall, great 👍🏻",Positif
"Harusnya ada limit waktu buat refund. Bukan ga ada sama sekali, kapitalis bgt heran. Udah di reply pihak CS Malah divalidasi lagi ga bakal bisa di refund. Emang serakah kapitalis abis",Negatif
😂🥰🫠🤩😂😍🤩😀,Positif
servernya jelek eror dan hanya muter saja,Negatif
Ngejar promo malah lemot,Negatif
Server bapuk su,Negatif
"ngasih promo tapi pas CO lemot banget, bahkan beli tanpa promo pun sama lemot. buat liat kursi aja ngecrash enggak jalan-jalan. perasaan hp enggak kentang jaringan juga stabil. udah berkali-kali refresh tapi sama aja. dan ini enggak cuma terjadi di device saya, bahkan di device teman saja juga sama lemot banget.",Negatif
"perbaiki lah servernya, error mulu",Negatif
"Pembayarannya cuma bisa pake aplikasi dana doang, gak ada pililhan lain seperti gopay, sophee pay, atau transfer bank",Negatif
"Aplikasinya bagus, mudah di gunakan. Cuman 1, biaya admin per-tiket nya mahal.",Positif
